
============================================================
📊 VISUALIZACIÓN DE RESULTADOS DEL MODELO
============================================================

🔵 Estado del modelo: OPTIMAL
💰 Valor objetivo (ganancia neta): $2,171,510.98

📈 DESGLOSE ECONÓMICO:
  - Ingresos por venta: $4,075,341.37
  - Costo de cosecha: $1,653,891.35
  - Costo de instalacion: $230,000.00
  - Costo de transporte: $6,739.05
  - Costo de construccion_caminos: $13,200.00

🔧 VARIABLES RELEVANTES:

  🔸 Faena Cosechada (x):
    - Faena 46 → Hectarea 46, máquina skidder, período 13, cosecha: 1.00 
    - Faena 46 → Hectarea 46, máquina skidder, período 14, cosecha: 1.00 
    - Faena 46 → Hectarea 46, máquina skidder, período 15, cosecha: 1.00 
    - Faena 46 → Hectarea 46, máquina skidder, período 16, cosecha: 1.00 
    - Faena 46 → Hectarea 46, máquina skidder, período 17, cosecha: 1.00 
    - Faena 46 → Hectarea 46, máquina skidder, período 18, cosecha: 1.00 
    - Faena 46 → Hectarea 1, máquina skidder, período 14, cosecha: 1.00 
    - Faena 46 → Hectarea 1, máquina skidder, período 16, cosecha: 1.00 
    - Faena 46 → Hectarea 1, máquina skidder, período 17, cosecha: 1.00 
    - Faena 46 → Hectarea 1, máquina skidder, período 18, cosecha: 1.00 
    - Faena 46 → Hectarea 2, máquina skidder, período 13, cosecha: 1.00 
    - Faena 46 → Hectarea 2, máquina skidder, período 14, cosecha: 1.00 
    - Faena 46 → Hectarea 2, máquina skidder, período 15, cosecha: 1.00 
    - Faena 46 → Hectarea 2, máquina skidder, período 16, cosecha: 1.00 
    - Faena 46 → Hectarea 2, máquina skidder, período 17, cosecha: 1.00 
    - Faena 46 → Hectarea 2, máquina skidder, período 18, cosecha: 1.00 
    - Faena 46 → Hectarea 47, máquina skidder, período 14, cosecha: 1.00 
    - Faena 46 → Hectarea 47, máquina skidder, período 15, cosecha: 1.00 
    - Faena 46 → Hectarea 47, máquina skidder, período 18, cosecha: 1.00 
    - Faena 46 → Hectarea 5, máquina skidder, período 13, cosecha: 1.00 
    - Faena 46 → Hectarea 5, máquina skidder, período 14, cosecha: 1.00 
    - Faena 46 → Hectarea 5, máquina skidder, período 15, cosecha: 1.00 
    - Faena 46 → Hectarea 5, máquina skidder, período 16, cosecha: 1.00 
    - Faena 46 → Hectarea 5, máquina skidder, período 17, cosecha: 1.00 
    - Faena 46 → Hectarea 5, máquina skidder, período 18, cosecha: 1.00 
    - Faena 46 → Hectarea 6, máquina skidder, período 13, cosecha: 1.00 
    - Faena 46 → Hectarea 6, máquina skidder, período 14, cosecha: 1.00 
    - Faena 46 → Hectarea 6, máquina skidder, período 15, cosecha: 1.00 
    - Faena 46 → Hectarea 6, máquina skidder, período 16, cosecha: 1.00 
    - Faena 46 → Hectarea 6, máquina skidder, período 17, cosecha: 1.00 
    - Faena 46 → Hectarea 6, máquina skidder, período 18, cosecha: 1.00 
    - Faena 46 → Hectarea 48, máquina skidder, período 14, cosecha: 1.00 
    - Faena 46 → Hectarea 48, máquina skidder, período 15, cosecha: 1.00 
    - Faena 46 → Hectarea 48, máquina skidder, período 18, cosecha: 1.00 
    - Faena 46 → Hectarea 49, máquina skidder, período 17, cosecha: 1.00 
    - Faena 46 → Hectarea 49, máquina skidder, período 18, cosecha: 1.00 
    - Faena 46 → Hectarea 10, máquina skidder, período 15, cosecha: 1.00 
    - Faena 46 → Hectarea 50, máquina skidder, período 14, cosecha: 1.00 
    - Faena 46 → Hectarea 50, máquina skidder, período 15, cosecha: 1.00 
    - Faena 46 → Hectarea 50, máquina skidder, período 18, cosecha: 1.00 
    - Faena 151 → Hectarea 151, máquina skidder, período 18, cosecha: 1.00 
    - Faena 151 → Hectarea 102, máquina skidder, período 18, cosecha: 1.00 
    - Faena 151 → Hectarea 150, máquina skidder, período 18, cosecha: 1.00 
    - Faena 151 → Hectarea 152, máquina skidder, período 18, cosecha: 1.00 
    - Faena 151 → Hectarea 153, máquina skidder, período 18, cosecha: 1.00 
    - Faena 151 → Hectarea 157, máquina skidder, período 18, cosecha: 1.00 
    - Faena 108 → Hectarea 108, máquina skidder, período 13, cosecha: 1.00 
    - Faena 108 → Hectarea 108, máquina skidder, período 14, cosecha: 1.00 
    - Faena 108 → Hectarea 108, máquina skidder, período 15, cosecha: 1.00 
    - Faena 108 → Hectarea 108, máquina skidder, período 16, cosecha: 1.00 
    - Faena 108 → Hectarea 108, máquina skidder, período 17, cosecha: 1.00 
    - Faena 108 → Hectarea 108, máquina skidder, período 18, cosecha: 1.00 
    - Faena 108 → Hectarea 99, máquina skidder, período 15, cosecha: 1.00 
    - Faena 108 → Hectarea 100, máquina skidder, período 18, cosecha: 1.00 
    - Faena 108 → Hectarea 101, máquina skidder, período 14, cosecha: 1.00 
    - Faena 108 → Hectarea 103, máquina skidder, período 18, cosecha: 1.00 
    - Faena 108 → Hectarea 104, máquina skidder, período 14, cosecha: 1.00 
    - Faena 108 → Hectarea 105, máquina skidder, período 18, cosecha: 1.00 
    - Faena 108 → Hectarea 106, máquina skidder, período 17, cosecha: 1.00 
    - Faena 108 → Hectarea 51, máquina skidder, período 15, cosecha: 1.00 
    - Faena 108 → Hectarea 107, máquina skidder, período 13, cosecha: 1.00 
    - Faena 108 → Hectarea 109, máquina skidder, período 18, cosecha: 1.00 
    - Faena 108 → Hectarea 53, máquina skidder, período 13, cosecha: 1.00 
    - Faena 108 → Hectarea 110, máquina skidder, período 18, cosecha: 1.00 
    - Faena 12 → Hectarea 12, máquina skidder, período 1, cosecha: 1.00 
    - Faena 12 → Hectarea 12, máquina skidder, período 2, cosecha: 1.00 
    - Faena 12 → Hectarea 12, máquina skidder, período 3, cosecha: 1.00 
    - Faena 12 → Hectarea 12, máquina skidder, período 4, cosecha: 1.00 
    - Faena 12 → Hectarea 12, máquina skidder, período 5, cosecha: 1.00 
    - Faena 12 → Hectarea 12, máquina skidder, período 6, cosecha: 1.00 
    - Faena 12 → Hectarea 3, máquina skidder, período 1, cosecha: 1.00 
    - Faena 12 → Hectarea 4, máquina skidder, período 6, cosecha: 1.00 
    - Faena 12 → Hectarea 5, máquina skidder, período 5, cosecha: 1.00 
    - Faena 12 → Hectarea 7, máquina skidder, período 4, cosecha: 1.00 
    - Faena 12 → Hectarea 8, máquina skidder, período 3, cosecha: 1.00 
    - Faena 12 → Hectarea 9, máquina skidder, período 4, cosecha: 1.00 
    - Faena 12 → Hectarea 10, máquina skidder, período 4, cosecha: 1.00 
    - Faena 12 → Hectarea 13, máquina skidder, período 3, cosecha: 1.00 
    - Faena 12 → Hectarea 54, máquina skidder, período 3, cosecha: 1.00 
    - Faena 12 → Hectarea 14, máquina skidder, período 2, cosecha: 1.00 
    - Faena 12 → Hectarea 16, máquina skidder, período 4, cosecha: 1.00 
    - Faena 12 → Hectarea 17, máquina skidder, período 6, cosecha: 1.00 
    - Faena 12 → Hectarea 55, máquina skidder, período 2, cosecha: 1.00 
    - Faena 12 → Hectarea 21, máquina skidder, período 2, cosecha: 1.00 
    - Faena 164 → Hectarea 164, máquina skidder, período 13, cosecha: 1.00 
    - Faena 164 → Hectarea 164, máquina skidder, período 14, cosecha: 1.00 
    - Faena 164 → Hectarea 164, máquina skidder, período 15, cosecha: 1.00 
    - Faena 164 → Hectarea 164, máquina skidder, período 16, cosecha: 1.00 
    - Faena 164 → Hectarea 164, máquina skidder, período 17, cosecha: 1.00 
    - Faena 164 → Hectarea 164, máquina skidder, período 18, cosecha: 1.00 
    - Faena 164 → Hectarea 154, máquina skidder, período 18, cosecha: 1.00 
    - Faena 164 → Hectarea 155, máquina skidder, período 13, cosecha: 1.00 
    - Faena 164 → Hectarea 155, máquina skidder, período 18, cosecha: 1.00 
    - Faena 164 → Hectarea 156, máquina skidder, período 14, cosecha: 1.00 
    - Faena 164 → Hectarea 156, máquina skidder, período 15, cosecha: 1.00 
    - Faena 164 → Hectarea 158, máquina skidder, período 18, cosecha: 1.00 
    - Faena 164 → Hectarea 159, máquina skidder, período 18, cosecha: 1.00 
    - Faena 164 → Hectarea 160, máquina skidder, período 13, cosecha: 1.00 
    - Faena 164 → Hectarea 160, máquina skidder, período 14, cosecha: 1.00 
    - Faena 164 → Hectarea 161, máquina skidder, período 13, cosecha: 1.00 
    - Faena 164 → Hectarea 161, máquina skidder, período 15, cosecha: 1.00 
    - Faena 164 → Hectarea 162, máquina skidder, período 13, cosecha: 1.00 
    - Faena 164 → Hectarea 162, máquina skidder, período 14, cosecha: 1.00 
    - Faena 164 → Hectarea 163, máquina skidder, período 15, cosecha: 1.00 
    - Faena 164 → Hectarea 165, máquina skidder, período 18, cosecha: 1.00 
    - Faena 164 → Hectarea 166, máquina skidder, período 18, cosecha: 1.00 
    - Faena 164 → Hectarea 167, máquina skidder, período 18, cosecha: 1.00 
    - Faena 164 → Hectarea 168, máquina skidder, período 15, cosecha: 1.00 
    - Faena 164 → Hectarea 168, máquina skidder, período 18, cosecha: 1.00 
    - Faena 164 → Hectarea 169, máquina skidder, período 14, cosecha: 1.00 
    - Faena 164 → Hectarea 169, máquina skidder, período 15, cosecha: 1.00 
    - Faena 115 → Hectarea 115, máquina skidder, período 1, cosecha: 1.00 
    - Faena 115 → Hectarea 115, máquina skidder, período 2, cosecha: 1.00 
    - Faena 115 → Hectarea 115, máquina skidder, período 3, cosecha: 1.00 
